sig_id,peak_current,peak_potential,peak_AUC,peak_FWHM,pca1_comp,first_derivative_max,second_derivative_min,left_slope,right_slope,asymetry,peak_sharpness,peak_compactness,current_variance,peak_skewness,peak_kurtosis,tchebichef_curve_moments,mean_peak,signal_entropy,spectral_entropy,fft_power,pca2_comp,pca3_comp,wavelet_energy,concentration
0,34.861237254648046,-0.37767999999999996,2.8574973462762565,0.082198,370.79441867891705,689.8926826738457,-34998.326307007024,481.0210340092552,-676.0276026300276,0.7115405231056897,424.1129620507561,0.32600755986876284,58.69869673723711,-0.05575181227051987,0.1668200285217072,-16.2185638991143,11.151347811112613,2.669005804925719,3.974892099026836,13442.001552827294,111.24320674367105,23.26670367441703,5435743.296043582,100
1,34.12262812170419,-0.382515,2.8588675535801773,0.082198,368.44537326256955,650.8205893136783,-33117.99093184472,473.27922977559,-608.8956101963046,0.7772748265059874,415.1272308535997,0.3269369162080397,57.65243182177812,-0.143269628068181,0.00809175652981331,-16.044498218532194,10.9497194410039,2.6759606610363282,3.944887746935068,13202.406887187188,108.49258473604674,22.522194075348885,5384265.851244701,100
2,33.95261692814342,-0.382515,2.7888076310688454,0.07736299999999996,360.76467574925505,690.71613289265,-34510.09607109333,479.13930056679965,-613.6525901272752,0.7807989541239014,438.87409909315096,0.3145865105038959,55.48395724932208,-0.08274988885549721,0.17360910813775732,-15.565994221351394,10.487412573191923,2.685850335260972,3.9661541606601887,12705.826210094756,107.63748989005376,22.483544373113023,5143759.96198518,100
3,22.31097024867136,-0.382515,1.5273140273901833,0.062857,208.47329628065302,434.6043322777948,-33991.92708707023,350.88203324461864,-509.39904651246366,0.6888156459005729,354.9480606562731,0.2722666923533883,19.30421823422888,0.03174247608252793,0.6199060788739783,-8.943597529918486,5.96010885652982,2.622592722084639,4.2189915426878,4420.665975638412,71.93967147729683,17.96571005419835,1669054.790927528,50
4,23.119320141909743,-0.382515,1.600880797945126,0.062857,218.63800876999093,466.42237003067385,-30639.845669842758,367.5337549895399,-520.0242519981815,0.7067627203487139,367.80820182175006,0.28080279819328346,21.09193971974506,0.050007489033383395,0.6369371755236584,-9.36488984086246,6.367468248514459,2.6254928285777823,4.206235153838762,4830.054195821616,74.93879466660336,18.29854660862391,1835898.0951871772,50
5,22.95643620158574,-0.38734999999999997,1.5506860727618528,0.062857,213.04300335584014,489.41595633311545,-34488.89440993783,367.6011069751684,-502.93277140252786,0.730915000726717,365.2168605180925,0.2686606430907051,20.16889199281258,0.12409380382645481,0.8590844117074226,-9.02875278641295,6.051596292603954,2.5751003606994276,4.239323958321082,4618.676266354079,74.45417674271872,18.56436067717143,1732901.4581736017,50
6,11.245643883295568,-0.38734999999999997,0.7054929904435377,0.05802200000000002,103.7253245105322,225.358762063393,-21843.64354099874,189.89228138923116,-270.86250702156144,0.7010652137769484,193.81689502767165,0.2594930471952605,4.671725216369475,0.14940651385767806,0.8070373744516148,-4.236778679328973,2.8609273581878965,2.459374713647547,4.2608778230909,1069.8250745486093,37.55453643293871,10.395114560511653,403213.6733465371,25
7,11.251055417927875,-0.38734999999999997,0.701417119468733,0.05802200000000002,104.45228956153892,220.14802865259844,-22777.09012978465,191.0231359201993,-269.54441746941205,0.7086888970419009,193.91016197180159,0.2578697783957264,4.701415636697106,0.2493511872081748,1.0771624704702134,-4.060116531927924,2.8444914902453844,2.570362917451523,4.239078255936025,1076.6241808036368,37.82044258491913,10.432795004753741,406804.7201425599,25
8,11.3011317746846,-0.38734999999999997,0.7035075335035192,0.05802200000000002,103.34972107425884,224.96091170041393,-22213.975197730222,191.8686456657984,-269.0848593034697,0.713041403230391,194.77322006626102,0.25244356702244974,4.647329309650666,0.19890810172527587,0.9417226456137522,-4.107010887044092,2.7980314988348756,2.665150281542991,4.270170219275821,1064.2384119100025,37.65387496156879,10.471149134735978,399897.35792773624,25
9,6.161388252892196,-0.38734999999999997,0.3908829489697811,0.053186999999999984,64.00763463948408,140.16631296587036,-12307.126212590389,110.1660582019655,-136.0816680427635,0.8095584055256138,115.84387637753957,0.26241309245050826,1.7049489755297975,0.40893816930978694,1.22223113696327,-2.2258016338744886,1.5852117840847897,2.627756189731629,4.002308413394937,390.43331539632356,22.12182753814391,5.789618754907169,151173.07153750953,15
10,6.164627180174868,-0.38734999999999997,0.389032469669764,0.05802200000000002,61.794742482703704,137.37685797935893,-11849.019071817598,110.02977282697184,-127.57671592157378,0.8624596740255588,106.2463751710535,0.25099418813168023,1.6118276056166927,0.35467308381723084,1.0736161661488612,-2.277861522171871,1.5181585572644973,2.6364898141857775,4.0662720578533555,369.1085216862226,21.699712963568363,5.696338375873689,141315.4782944611,15
11,5.984225949446327,-0.38734999999999997,0.3757838321503155,0.053186999999999984,60.8512914125823,138.25764486623842,-11510.801685776734,108.55985355170336,-132.26071549713936,0.8208019527465158,112.51294394205969,0.2650469949851207,1.5589442613255047,0.3278467427675502,0.9213886775374767,-2.3009503643928926,1.5543615123244627,2.6743799413773526,4.046808688638219,356.9982358435405,21.301192464621472,5.552807463102398,136158.35307762158,15
12,3.988604841172708,-0.38734999999999997,0.2496623510729602,0.053186999999999984,45.641742535959374,93.15687703405001,-8125.998184834534,72.94973077586938,-77.298926914784,0.9437353620224345,74.99210034731624,0.2589103389718144,0.8672850621563063,0.44732501859425206,1.1715771332406444,-1.4435360221064115,1.0124003586281234,2.6227551110079315,3.883582887632249,198.60827923379406,15.667154398619022,3.962461195796601,75464.18740245872,10
13,4.141879193904132,-0.392185,0.26039233411259854,0.05802199999999996,50.852807646617684,98.00780338602945,-8223.048013580905,78.4354433027794,-84.07195660332478,0.9329560827620554,71.38463330985032,0.26004476555005807,1.0420361548864223,0.4411245142250361,1.260684909759151,-1.4553822006422348,1.0559403349352647,2.49427477251955,3.7906274213443636,238.6262794689907,16.650609609160583,4.1532778215405415,93899.68743984164,10
14,4.002185772384525,-0.38734999999999997,0.25594166118393585,0.053186999999999984,46.81278544661611,93.99340202260859,-7652.387441329262,72.7916470483866,-77.72069922216969,0.9365799301458537,75.24744340505248,0.2814064940975758,0.89841948756794,0.2927214181437811,0.7134539803349567,-1.5933247586715775,1.1027681072439888,2.486883868277807,3.836075239176623,205.73806265305828,15.578668353864511,3.9238366199812096,80074.07942709465,10
15,2.7660930883561896,-0.39702,0.18107859741064378,0.05802199999999996,38.067831152549196,71.67777075916734,-4340.589437423548,53.38420117892278,-50.96761201436531,1.0474142120662109,47.6731772147839,0.29432720018588726,0.5943137444456738,0.33932339739186457,0.6789708588520389,-1.1078104354671159,0.7967575992435785,2.6520434410398055,3.804856343120239,136.0978474780593,11.963841610596083,2.7111225901484226,52202.74028780967,7.5
16,2.924602554441386,-0.392185,0.1914113543236553,0.05802199999999996,41.35134920691199,74.14322689050351,-5088.171713119515,54.24656999806841,-55.85248880085643,0.9712471397914968,50.40506281137134,0.27071865926209815,0.6989588717336558,0.3828040417732661,0.8051973040556004,-1.0553451822294926,0.7761623302867678,2.570521086041453,3.8048537456233342,160.06158162700714,13.179643695883247,3.056564652725233,61464.21948605838,7.5
17,2.5564196330504916,-0.392185,0.16563524669641336,0.05802199999999996,37.935236389182094,62.257765465340526,-4752.177895218745,47.73084772339391,-44.25704781937998,1.0784914510834762,44.05948835011708,0.2680019562027223,0.590288672267234,0.41478592783088347,0.975704250775506,-0.9582214125566116,0.6716463008022608,2.9531069947607405,3.8488225689821824,135.17610594919657,11.950342869395227,2.7824737276799545,51481.50813147979,7.5
18,1.7886365934398483,-0.392185,0.11580882108482736,0.05802200000000002,34.168104098967305,45.308125501291215,-2926.3947037072253,34.92727380088276,-32.753360415117676,1.066372224352335,30.826869005546996,0.29757508373175834,0.49137749204413816,0.39358802870219234,0.6240524911407324,-0.7100298004478492,0.5206526697618332,2.9777379741057817,3.9826839847172666,112.52544567810763,10.520970165315882,2.2685690779734826,41084.714274387356,5
19,1.6643049528523786,-0.39702,0.10748122887026625,0.05802199999999996,37.10127482614916,40.89017106443228,-3176.8714521579186,31.44882481162355,-29.939825604173294,1.0504010687102974,28.684032829829714,0.2725779125896462,0.5700224917525644,0.40012313955489653,0.6751726245358021,-0.6153965315792134,0.4445257270681838,2.580781468460194,3.9582171225195157,130.53515061133723,11.080101942498134,2.259088868280052,48512.421198096024,5
20,1.6198559956551255,-0.39702,0.10685989783365639,0.05802200000000002,31.790037245388465,40.17132681920714,-3066.159603425587,29.898016906912755,-28.259013363697076,1.0579993194426676,27.91796207740383,0.2902877584206966,0.42178062662501414,0.3647976210738259,0.6350097648118509,-0.6228194803022622,0.4604202161401066,2.799296703426188,3.9605764730671247,96.58776349712825,9.743994730127218,1.982683328214856,35583.87108923488,5
21,0.7837485393028911,-0.39702,0.051723523316505815,0.062857,30.035333413121098,19.810414862380924,-1332.9333721929677,16.04383914686092,-13.18569601766265,1.2167608843226552,12.468755099716677,0.31020436987835914,0.3875492498782509,0.4405674210893009,0.5422875173504549,-0.3262719150298408,0.2377024349304783,2.84037876223826,4.098316877934249,88.74877822211944,9.061327660897227,1.7781704908929203,31204.886612124148,2.5
22,0.7406332650594649,-0.39702,0.04862850246827792,0.05802199999999996,28.408641929013974,19.145234461050855,-1295.7324971249059,15.514008934351237,-12.805078551930393,1.2115512506569097,12.764697271025911,0.3086201205871315,0.35014166026997334,0.33180188972508723,0.31906703551072146,-0.3141845428833644,0.22345635243090697,3.135569798815001,4.1219599793229005,80.18244020182385,8.660494564742745,1.6634491850640616,27837.955248902425,2.5
23,0.2741503525959147,-0.392185,0.017592340616847637,0.062857,35.94859987390183,7.459308528474031,-475.89670511970223,5.573565767548211,-4.933683195816999,1.1296967288604451,4.361492794691358,0.39034046038278836,0.5614228446588707,0.25318855629278464,0.01481878242799084,-0.12692912755246244,0.1039308355568696,2.6891525307654582,4.065749185971839,128.5658314268814,10.287772900401821,2.0538471626890935,44412.234710368684,1
